y,giatri,DT,TN,SPT,GTC,GD,TCH,GT,DV,VPCT,LS
0,0,70,110,2,0,9,25,1,0,0,0
1,190,56,150,3,100,12,24,0,0,0,1
1,155,95,163,2,100,7,40,1,0,1,0
1,180,65,150,2,300,12,36,0,1,1,1
1,140,102,445,3,800,12,44,0,0,0,1
1,100,73,325,1,260,10,47,0,0,0,0
1,480,74,294,4,400,14,56,0,1,1,1
1,420,56,213,1,250,12,35,0,0,0,0
0,0,17,70,0,0,5,27,1,0,1,0
0,0,95,80,1,0,8,29,1,1,0,0
1,180,65,375,2,330,9,33,0,0,0,1
0,0,102,145,0,0,9,45,1,0,1,0
0,0,45,67,2,0,12,36,0,0,0,0
1,485,94,165,2,180,12,45,1,1,0,1
1,400,95,255,2,180,10,35,0,0,0,1
1,120,95,350,4,180,12,52,0,0,1,0
0,0,65,165,3,0,8,23,0,1,1,0
0,0,102,70,1,0,11,26,0,0,1,0
0,0,48,100,2,0,8,42,0,0,1,0
0,0,16,90,1,0,7,31,0,1,1,1
1,195,84,215,0,120,14,24,1,0,0,1
0,0,95,60,0,0,10,28,0,0,1,1
1,160,65,255,1,190,12,34,0,0,1,0
0,0,102,105,1,60,9,33,0,0,1,0
1,160,24,285,3,170,12,38,1,0,1,0
0,0,56,170,2,60,8,30,0,0,1,0
1,158,44,174,0,100,7,31,0,0,0,1
1,165,95,305,0,150,11,42,0,1,1,1
1,146,65,205,2,80,9,48,0,0,1,1
1,155,102,175,2,150,12,44,0,0,0,0
0,0,55,180,2,70,6,41,0,0,0,0
1,190,86,205,3,350,12,57,0,0,1,0
1,200,91,295,4,340,12,56,0,1,0,0
1,250,38,153,3,400,12,55,1,0,0,1
0,0,45,130,2,80,6,23,1,1,0,1
0,0,36,126,2,80,7,34,0,0,1,0
1,300,88,505,2,880,14,48,0,0,1,0
1,300,120,415,2,500,12,45,1,1,0,1
1,150,60,225,2,300,11,37,0,0,0,1
1,150,95,110,2,200,12,42,1,0,1,1
1,220,86,215,3,400,12,44,0,1,0,0
0,0,94,109,3,90,10,40,0,0,0,0
1,150,74,153,3,120,12,50,0,1,0,1
